instance_name,algorithm,execution_time,cost
dataset_size75_3,nearest_neighbour,0.0016365329938707873,596.4699999999999
dataset_size75_3,two_opt,1.639399339997908,519.3400000000001
dataset_size3_1,gurobi,2.714588235001429,3908.500000000002
dataset_size3_1,nearest_neighbour,0.00010064199159387499,247.19
dataset_size3_1,two_opt,0.000107968007796444,246.95
dataset_size100_4,nearest_neighbour,0.0025293340004282072,583.52
dataset_size100_4,two_opt,9.764489280001726,514.04
dataset_size50_5,nearest_neighbour,0.0006978720048209652,485.67
dataset_size50_5,two_opt,0.24975237100443337,430.53999999999996
dataset_size6_2,nearest_neighbour,0.0001116579951485619,264.26
dataset_size6_2,two_opt,0.0005109399935463443,261.47
dataset_size4_1,nearest_neighbour,8.792200242169201e-05,259.37
dataset_size4_1,two_opt,0.00026334500580560416,250.67000000000002
